obj_num,troupe1,troupe2,troupe3,troupe4
 ht2000880,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000883,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2004768,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000869,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000878,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000882,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000872,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000873,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000874,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000867,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000868,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000881,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000875,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000877,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000870,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000871,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000879,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000876,Hagenbeck,Wallace Bros. ,Adam Forepaugh,Sells Bros.
 ht2000546,Adam Forepaugh,Sells Bros.,Bailey Bros.,Ringling Bros.
 ht2001134,Al G. Barnes,Sells Bros.,Floto,John Robinson
 ht2004903,Al G. Barnes,Sells Bros.,Floto,John Robinson
 ht2001135,Al G. Barnes,Sells Bros.,Floto,John Robinson
 ht2001136,Al G. Barnes,Sells Bros.,Floto,John Robinson
 ht2001214,Gardner,Hemmings,Van Amburgh,
 ht2001246,P. Ryan,W. O'Dale Stevens,James Robinson,
 ht2001245,P. Ryan,W. O'Dale Stevens,James Robinson,
 ht2001244,P. Ryan,W. O'Dale Stevens,James Robinson,
 ht2004495,Barnum,Bailey Bros.,Hutchinson,
 ht2001256,Shelby Bros.,Pullman,Hamilton,
 ht2001252,Shelby Bros.,Pullman,Hamilton,
 ht2001251,Shelby Bros.,Pullman,Hamilton,
 ht2001253,Shelby Bros.,Pullman,Hamilton,
 ht2001255,Shelby Bros.,Pullman,Hamilton,
 ht2001254,Shelby Bros.,Pullman,Hamilton,
 ht2001118,Al G. Barnes,Sells Bros.,Floto,
 ht2001122,Al G. Barnes,Sells Bros.,Floto,
 ht2004900,Al G. Barnes,Sells Bros.,Floto,
 ht2001121,Al G. Barnes,Sells Bros.,Floto,
 ht2001131,Al G. Barnes,Sells Bros.,Floto,
 ht2001115,Al G. Barnes,Sells Bros.,Floto,
 ht2001132,Al G. Barnes,Sells Bros.,Floto,
 ht2001133,Al G. Barnes,Sells Bros.,Floto,
 ht2004902,Al G. Barnes,Sells Bros.,Floto,
 ht2001125,Al G. Barnes,Sells Bros.,Floto,
